example,sentence,text,uncertainty_score,mean_uncertainty,max_token_uncertainty
Reference wording,1,Apollo 11 landed on the Moon in 1969.,0.99998,0.99998,0.99999
Reference wording,2,The Eiffel Tower opened in 1889.,0.99998,0.99998,0.99999
Reference wording,3,OpenAI released GPT-4 in 2023.,0.99998,0.99998,0.99999
Year-only error,1,Apollo 11 landed on the Moon in 1972.,0.99998,0.99998,0.99998
Year-only error,2,The Eiffel Tower opened in 1889.,0.99998,0.99998,0.99999
Year-only error,3,OpenAI released GPT-4 in 2023.,0.99998,0.99998,0.99999
Contradictory variants,1,Apollo 11 landed on the Moon in 1969.,0.99998,0.99998,0.99999
Contradictory variants,2,Apollo 11 landed on the Moon in 1972.,0.99998,0.99998,0.99999
Contradictory variants,3,The Eiffel Tower opened in 1889.,0.99999,0.99998,0.99999
Contradictory variants,4,The Eiffel Tower opened in 1899.,0.99998,0.99998,0.99999
False side sentence,1,Apollo 11 landed on the Moon in 1969.,0.99998,0.99998,0.99999
False side sentence,2,The mission also carried tourists to Mars in 1970.,0.99998,0.99998,0.99998
False side sentence,3,The Eiffel Tower opened in 1889.,0.99998,0.99998,0.99999
